score,hyperparameters,iteration
0.9997350880059382,"{'boosting_type': 'goss', 'num_leaves': 39, 'learning_rate': 0.046983241574773446, 'subsample_for_bin': 20000, 'min_child_samples': 490, 'reg_alpha': 0.18367346938775508, 'reg_lambda': 0.5510204081632653, 'colsample_bytree': 1.0, 'subsample': 1.0, 'is_unbalance': False, 'n_estimators': 18}",0
0.9998822367642545,"{'boosting_type': 'goss', 'num_leaves': 24, 'learning_rate': 0.10972645431016567, 'subsample_for_bin': 240000, 'min_child_samples': 270, 'reg_alpha': 0.2857142857142857, 'reg_lambda': 0.9183673469387754, 'colsample_bytree': 0.7333333333333333, 'subsample': 1.0, 'is_unbalance': False, 'n_estimators': 9}",1
0.9999991741211192,"{'boosting_type': 'gbdt', 'num_leaves': 139, 'learning_rate': 0.007536126546553785, 'subsample_for_bin': 60000, 'min_child_samples': 155, 'reg_alpha': 0.1020408163265306, 'reg_lambda': 0.4693877551020408, 'colsample_bytree': 0.9111111111111111, 'subsample': 0.8686868686868687, 'is_unbalance': True, 'n_estimators': 1838}",2
0.9999992857078347,"{'boosting_type': 'gbdt', 'num_leaves': 24, 'learning_rate': 0.00975574173423308, 'subsample_for_bin': 260000, 'min_child_samples': 315, 'reg_alpha': 0.7142857142857142, 'reg_lambda': 0.32653061224489793, 'colsample_bytree': 0.9111111111111111, 'subsample': 0.6262626262626263, 'is_unbalance': False, 'n_estimators': 2594}",3
0.9999992411596352,"{'boosting_type': 'gbdt', 'num_leaves': 26, 'learning_rate': 0.009146022524231467, 'subsample_for_bin': 20000, 'min_child_samples': 330, 'reg_alpha': 0.08163265306122448, 'reg_lambda': 0.5306122448979591, 'colsample_bytree': 0.6888888888888889, 'subsample': 0.6414141414141414, 'is_unbalance': True, 'n_estimators': 1291}",4
0.9999995535636689,"{'boosting_type': 'gbdt', 'num_leaves': 59, 'learning_rate': 0.2435890109397315, 'subsample_for_bin': 80000, 'min_child_samples': 415, 'reg_alpha': 0.1020408163265306, 'reg_lambda': 0.7959183673469387, 'colsample_bytree': 0.7333333333333333, 'subsample': 0.6060606060606061, 'is_unbalance': True, 'n_estimators': 267}",5
0.9999995313268479,"{'boosting_type': 'dart', 'num_leaves': 29, 'learning_rate': 0.006325168601979518, 'subsample_for_bin': 200000, 'min_child_samples': 250, 'reg_alpha': 0.14285714285714285, 'reg_lambda': 0.5306122448979591, 'colsample_bytree': 0.7333333333333333, 'subsample': 0.601010101010101, 'is_unbalance': False, 'n_estimators': 10000}",6
0.9999992636499521,"{'boosting_type': 'dart', 'num_leaves': 35, 'learning_rate': 0.024191048324629785, 'subsample_for_bin': 60000, 'min_child_samples': 120, 'reg_alpha': 0.26530612244897955, 'reg_lambda': 0.8775510204081632, 'colsample_bytree': 1.0, 'subsample': 0.5757575757575758, 'is_unbalance': False, 'n_estimators': 10000}",7
0.9999996652100304,"{'boosting_type': 'gbdt', 'num_leaves': 88, 'learning_rate': 0.017041292737117256, 'subsample_for_bin': 260000, 'min_child_samples': 185, 'reg_alpha': 0.7346938775510203, 'reg_lambda': 0.9795918367346939, 'colsample_bytree': 0.7333333333333333, 'subsample': 0.5454545454545454, 'is_unbalance': True, 'n_estimators': 855}",8
0.9999996652547651,"{'boosting_type': 'dart', 'num_leaves': 67, 'learning_rate': 0.01974997730610321, 'subsample_for_bin': 140000, 'min_child_samples': 200, 'reg_alpha': 0.3877551020408163, 'reg_lambda': 0.3061224489795918, 'colsample_bytree': 0.6, 'subsample': 0.8232323232323233, 'is_unbalance': True, 'n_estimators': 10000}",9
